Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Rwanda,Sub-Saharan Africa,2019,3.3340000000000000,0.359,0.711,0.614,0.555,0.217,0.41100000000000000,7.652407646,0.48945823300000000,61.70000076,0.868999183,0.062649675,0.167970896,0.98584497,0.473,0.648203611
Saudi Arabia,Middle East and North Africa,2019,6.375,1.403,1.357,0.795,0.439,0.08,0.132,10.79833412,0.911718428,66.59999847,0.891086578,-0.159323543,,,,0.497063935
Senegal,Sub-Saharan Africa,2019,4.681,0.45,1.1340000000000000,0.5710000000000000,0.292,0.153,0.07200000000000000,8.157624245,0.6876140830000000,60.0,0.758841753,-0.026828723,0.79567343,0.638033628,0.40233333300000000,0.431672096
Serbia,Central and Eastern Europe,2019,5.603,1.004,1.383,0.8540000000000000,0.282,0.13700000000000000,0.039,9.722275734,0.903294265,68.59999847,0.752504587,-0.041926585,0.8131418230000000,0.47350540800000000,0.396,0.368193924
Sierra Leone,Sub-Saharan Africa,2019,4.374,0.268,0.841,0.242,0.309,0.252,0.045,7.294056416,0.6107797620000000,52.40000153,0.7177695630000000,0.080208212,0.873861432,0.817156315,0.371,0.682144225
Singapore,Southeast Asia,2019,6.2620000000000000,1.5720000000000000,1.463,1.141,0.556,0.271,0.45300000000000000,,0.9249183540000000,77.09999847,0.938041747,,0.069619603,0.9257260560000000,,0.38808012
Slovakia,Central and Eastern Europe,2019,6.1980000000000000,1.246,1.504,0.8810000000000000,0.33400000000000000,0.121,0.014000000000000000,10.37586498,0.933088303,69.19999695,0.771121562,-0.13641837200000000,0.9258466960000000,0.23097282600000000,0.26725,0.273854941
Slovenia,Central and Eastern Europe,2019,6.118000000000000,1.258,1.5230000000000000,0.953,0.564,0.14400000000000000,0.057,10.42647362,0.949402273,71.40000153,0.945430517,-0.100972004,0.785441816,0.397150725,0.2495,0.34169545800000000
Somalia,Sub-Saharan Africa,2019,4.668,0.0,0.698,0.268,0.5590000000000000,0.243,0.27,,,,,,,,,
South Africa,Sub-Saharan Africa,2019,4.7220000000000000,0.96,1.351,0.469,0.389,0.13,0.055,9.395446777,0.847719729,56.90000153,0.73833853,-0.13904592400000000,0.819823623,0.495906323,0.624,0.556678593
South Korea,East Asia,2019,5.895,1.301,1.219,1.036,0.159,0.175,0.056000000000000000,10.528979300000000,0.783160865,73.90000153,0.706032395,-0.055050667000000000,0.71769613,0.37675759200000000,0.319,0.46574139600000000
South Sudan,Middle East and North Africa,2019,2.853,0.306,0.575,0.295,0.01,0.20200000000000000,0.091,,,,,,,,,
Spain,Western Europe,2019,6.354,1.286,1.484,1.062,0.36200000000000000,0.153,0.079,10.48157501,0.9490134720000000,74.69999695,0.7779667380000000,-0.047986757000000000,0.73033762,0.36778587100000000,0.345384615,0.37810370300000000
Sri Lanka,South Asia,2019,4.3660000000000000,0.9490000000000000,1.265,0.831,0.47,0.244,0.047,9.413113594,0.814939141,67.40000153,0.8242773410000000,0.04815717,0.863342285,0.5690420270000000,0.3934,0.39384853800000000
Swaziland,Sub-Saharan Africa,2019,4.212,0.8110000000000000,1.149,0.0,0.313,0.07400000000000000,0.135,9.163069725,0.759097695,51.73661804,0.596682429,-0.20478183,0.723507762,0.682605982,0.523,0.689460814
Sweden,Western Europe ,2019,7.343,1.3870000000000000,1.4870000000000000,1.0090000000000000,0.574,0.267,0.373,10.76318455,0.93364507,72.69999695,0.941515207,0.09000535300000000,0.250087917,0.513281763,0.27415384600000000,0.362290412
Switzerland,Western Europe ,2019,7.48,1.452,1.526,1.052,0.5720000000000000,0.263,0.34300000000000000,10.98588657,0.948512852,74.40000153,0.913166702,0.037177868000000000,0.293700755,0.80661273,0.3281,0.331233352
Syria,Middle East and North Africa,2019,3.4620000000000000,0.619,0.37800000000000000,0.44,0.013000000000000000,0.331,0.141,,,,,,,,,
Taiwan Province of China,East Asia,2019,6.446000000000000,1.368,1.43,0.914,0.35100000000000000,0.242,0.09700000000000000,,0.8934305910000000,,0.814484477,,0.71811235,0.431494951,,0.378149986
Tajikistan,Commonwealth of Independent States,2019,5.4670000000000000,0.493,1.0980000000000000,0.718,0.389,0.23,0.14400000000000000,8.061078072,0.87982291,64.40000153,,-0.04588633,0.490029365,,0.3266,0.33081293100000000
Tanzania,Sub-Saharan Africa,2019,3.2310000000000000,0.47600000000000000,0.885,0.499,0.41700000000000000,0.276,0.147,7.993228912,0.6872675420000000,58.0,0.850132525,0.086916089,0.589293599,0.91315937,0.384666667,0.50996995
Thailand,Southeast Asia,2019,6.008000000000000,1.05,1.409,0.828,0.557,0.359,0.028000000000000000,9.766691208,0.9030510190000000,67.40000153,0.8982446190000000,0.304710567,0.87703979,0.467234045,0.39273333300000000,0.45596987
Togo,Sub-Saharan Africa,2019,4.085,0.275,0.5720000000000000,0.41,0.293,0.177,0.085,7.380859375,0.53870219,55.09999847,0.617419779,0.059341397000000000,0.7366750240000000,0.424144924,0.437666667,0.538171709
Trinidad and Tobago,Latin America and Caribbean,2019,6.192,1.2310000000000000,1.4770000000000000,0.713,0.489,0.185,0.016,,,,,,,,,
Tunisia,Middle East and North Africa,2019,4.461,0.9210000000000000,1.0,0.815,0.16700000000000000,0.059000000000000000,0.055,9.329740524,0.609589279,67.19999695,0.659331739,-0.21978865600000000,0.88890475,0.286565632,0.36775,0.45286884900000000
Turkey,Middle East and North Africa,2019,5.373000000000000,1.183,1.36,0.8080000000000000,0.195,0.083,0.106,10.126064300000000,0.7916561960000000,67.19999695,0.631083786,-0.13567847,0.760442197,0.561260879,0.4058,0.38243398100000000
Turkmenistan,Commonwealth of Independent States,2019,5.247000000000000,1.052,1.538,0.657,0.39400000000000000,0.244,0.028000000000000000,9.787561417000000,0.981501758,62.59999847,0.891526878,0.26694291800000000,,,,0.335520357
Uganda,Sub-Saharan Africa,2019,4.189,0.332,1.069,0.44300000000000000,0.35600000000000000,0.252,0.06,7.5224514010000000,0.805487394,56.09999847,0.7043766380000000,0.145395324,0.825612605,0.558205307,0.4322,0.606464982
Ukraine,Commonwealth of Independent States,2019,4.332,0.82,1.39,0.7390000000000000,0.17800000000000000,0.187,0.01,9.042800903,0.88272649,64.90000153,0.7153117660000000,-0.058603883000000000,0.885004938,0.374282002,0.265,0.401841849
United Arab Emirates,Middle East and North Africa,2019,6.825,1.5030000000000000,1.31,0.825,0.598,0.262,0.182,11.11748791,0.8615332840000000,67.30000305,0.911419511,0.118534319,,,,0.803261578
United Kingdom,Western Europe,2019,7.054000000000000,1.3330000000000000,1.538,0.996,0.45,0.348,0.278,10.60648632,0.942681074,72.5,0.85403955,0.271622688,0.48509228200000000,0.340828866,0.341083333,0.44229611800000000
United States,North America and ANZ,2019,6.892,1.433,1.4570000000000000,0.8740000000000000,0.45400000000000000,0.28,0.128,10.94422531,0.9166911240000000,68.19999695,0.836139023,0.141644612,0.706715524,0.36277443200000000,0.40816666700000000,0.608511865
Uruguay,Latin America and Caribbean,2019,6.293000000000000,1.124,1.465,0.8910000000000000,0.523,0.127,0.15,9.959531784,0.9334709640000000,69.09999847,0.902678788,-0.10236975600000000,0.599399626,0.551632583,0.42466666700000000,0.412340879
Uzbekistan,Commonwealth of Independent States,2019,6.1740000000000000,0.745,1.5290000000000000,0.7560000000000000,0.631,0.322,0.24,8.773669243000000,0.9152759310000000,65.40000153,0.970294535,0.30312708,0.511196852,0.9609445330000000,0.348,0.490071207
Venezuela,Latin America and Caribbean,2019,4.707,0.96,1.4270000000000000,0.805,0.154,0.064,0.047,,0.88767153,66.69999695,0.62552619,,0.8393403890000000,0.260136247,0.497166667,
Vietnam,Southeast Asia,2019,5.175,0.741,1.3460000000000000,0.851,0.5430000000000000,0.147,0.073,8.850640297,0.847592115,68.09999847,0.95246917,-0.122386232,0.787889242,,0.36275,0.387339056
Yemen,Middle East and North Africa,2019,3.38,0.287,1.163,0.46300000000000000,0.14300000000000000,0.10800000000000000,0.077,,0.870042801,57.5,0.651308239,,0.798228264,,0.35700000000000000,0.43133509200000000
Zambia,Sub-Saharan Africa,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087,8.224403381,0.637894392,55.79999924,0.811039805,0.066340059,0.8319560290000000,0.5898111460000000,0.5274,0.556423664
Zimbabwe,Sub-Saharan Africa,2019,3.6630000000000000,0.366,1.114,0.433,0.361,0.151,0.08900000000000000,7.85044241,0.759162307,56.20000076,0.6319075820000000,-0.06232499,0.830651879,0.45645502200000000,0.43200000000000000,0.6995875840000000
