Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Poland,Central and Eastern Europe,2018,6.123000000000000,1.176,1.4480000000000000,0.7810000000000000,0.546,0.10800000000000000,0.064,10.17238712,26170.47461,68.57077789,0.8971841340000000,0.833217442,0.259615868,0.828770638
Bahrain,Middle East and North Africa,2018,6.105,1.338,1.3660000000000000,0.698,0.594,0.243,0.12300000000000000,10.69341278,44064.63281,65.97679138,0.8635982870000000,0.8741407990000000,0.510673225,
Uzbekistan,Commonwealth of Independent States,2018,6.096,0.7190000000000000,1.584,0.605,0.7240000000000000,0.32800000000000000,0.259,8.705645561,6036.897949,63.03148651,0.952999771,0.983573198,0.488877624,0.469021022
Kuwait,Middle East and North Africa,2018,6.083000000000000,1.474,1.301,0.675,0.5540000000000000,0.16700000000000000,0.106,11.13002491,68188.07031,65.24454498,0.837385178,0.840411305,0.425504118,
Thailand,Southeast Asia,2018,6.072,1.016,1.4170000000000000,0.7070000000000000,0.637,0.364,0.029000000000000000,9.659890175,15676.0625,66.23813629,0.884689093,0.9102722410000000,0.6172451380000000,0.8928533790000000
Italy,Western Europe,2018,6.0,1.264,1.501,0.946,0.281,0.13700000000000000,0.028000000000000000,10.4569397,34784.9375,73.78293610000000,0.9187664390000000,0.610554516,0.326457053,0.894133627
Ecuador,Latin America and Caribbean,2018,5.973,0.889,1.33,0.736,0.556,0.114,0.12,9.252638817000000,10432.05762,67.14649200000000,0.8490923640000000,0.8419798610000000,0.19847840100000000,0.7248564360000000
Belize,Latin America and Caribbean,2018,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000000,8.987882614,8005.488281,58.92390823,0.755414307,0.8727703090000000,0.286091298,0.783099353
Lithuania,Central and Eastern Europe,2018,5.952000000000000,1.197,1.527,0.716,0.35,0.026000000000000000,0.006,10.24080372,28023.64063,66.51541138,0.92958951,0.668457568,0.13911400700000000,0.934920669
Slovenia,Central and Eastern Europe,2018,5.9480000000000000,1.219,1.506,0.856,0.633,0.16,0.051,10.31210327,30094.66797,70.94329071,0.921112299,0.90656358,0.35124775800000000,0.852600038
Romania,Central and Eastern Europe,2018,5.945,1.1160000000000000,1.219,0.726,0.528,0.08800000000000000,0.001,9.979952812,21589.29297,66.85708618,0.80361259,0.817901909,0.214329153,0.945374608
Latvia,Central and Eastern Europe,2018,5.933,1.148,1.454,0.6710000000000000,0.363,0.092,0.066,10.08394718,23955.35547,65.10926056,0.8998319510000000,0.679467142,0.228871495,0.8242026570000000
Japan,East Asia,2018,5.915,1.294,1.462,0.988,0.5530000000000000,0.079,0.15,10.55351734,38311.95703,75.08824158,0.9028106930000000,0.8393359780000000,0.245056108,0.670361459
Mauritius,Sub-Saharan Africa,2018,5.891,1.09,1.3870000000000000,0.684,0.584,0.245,0.05,9.898105621000000,19892.65039,65.51927185,0.872500658,0.865327895,0.45129895200000000,0.8545638320000000
Jamaica,Latin America and Caribbean,2018,5.89,0.8190000000000000,1.493,0.693,0.575,0.096,0.031,9.025864601,8315.400391,65.81879425,0.9157018660000000,0.8580685260000000,0.15667392300000000,0.8888900280000000
South Korea,East Asia,2018,5.875,1.266,1.204,0.955,0.244,0.175,0.051,10.46389961,35027.87891,74.04169464,0.7976124290000000,0.579579115,0.389888555,0.8516999480000000
Northern Cyprus,,2018,5.835,1.229,1.2110000000000000,0.909,0.495,0.179,0.154,,,,,,,
Russia,Commonwealth of Independent States,2018,5.81,1.151,1.479,0.599,0.39900000000000000,0.065,0.025,10.093879700000000,24194.47852,62.83291626,0.909935653,0.710038066,0.188827589,0.899817526
