Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Congo (Kinshasa),Sub-Saharan Africa,2018,4.245,0.069,1.136,0.204,0.312,0.19700000000000000,0.052000000000000000,6.619260788000000,749.3909302000000,50.42560196,0.7696052790000000,0.6369047760000000,0.12398546200000000,0.8501982690000000
India,South Asia,2018,4.19,0.721,0.747,0.485,0.539,0.172,0.09300000000000000,8.713383675,6083.793457,59.25737381,0.6108657120000000,0.827820241,0.24647080900000000,0.774644315
Niger,Sub-Saharan Africa,2018,4.166,0.131,0.867,0.221,0.39,0.175,0.099,6.818792343000000,914.8794556,50.94501114,0.659665585,0.702045143,0.10746587100000000,0.7640818360000000
Uganda,Sub-Saharan Africa,2018,4.1610000000000000,0.322,1.09,0.237,0.45,0.259,0.061,7.430361271000000,1686.416748,51.45369339,0.7510097030000000,0.7524530890000000,0.28494644200000000,0.8347805140000000
Benin,Sub-Saharan Africa,2018,4.141,0.37800000000000000,0.37200000000000000,0.24,0.44,0.163,0.067,7.610313416,2018.910767,51.561798100000000,0.45777711300000000,0.744072258,0.149063423,0.823281527
Sudan,Sub-Saharan Africa,2018,4.139000000000000,0.605,1.24,0.312,0.016,0.134,0.08200000000000000,8.340058327000000,4188.333984000000,53.82001114,0.812276661,0.387828946,0.157809615,0.7957441210000000
Ukraine,Commonwealth of Independent States,2018,4.103,0.7930000000000000,1.413,0.609,0.163,0.187,0.011000000000000000,8.943782806,7660.119141000000,63.17077637,0.88285476,0.510923445,0.29062029700000000,0.925533473
Togo,Sub-Saharan Africa,2018,3.9990000000000000,0.259,0.474,0.253,0.434,0.158,0.10100000000000000,7.22990799,1380.095459,51.95452881,0.499363661,0.739340305,0.109302483,0.7608093020000000
Guinea,Sub-Saharan Africa,2018,3.964,0.344,0.792,0.21100000000000000,0.39400000000000000,0.185,0.094,7.500808716,1809.5052490000000,50.65055084,0.629381716,0.7058581710000000,0.173848122,0.773457825
Lesotho,Sub-Saharan Africa,2018,3.8080000000000000,0.47200000000000000,1.215,0.079,0.423,0.11600000000000000,0.11200000000000000,7.914381981,2736.35498,46.48040009,0.802021265,0.729934275,0.097547829,0.740821719
Angola,Sub-Saharan Africa,2018,3.795,0.73,1.125,0.26900000000000000,0.0,0.079,0.061,8.741956711,6260.132813,52.46070862,0.765275478,0.374172747,0.10682857,0.83354044
Madagascar,Sub-Saharan Africa,2018,3.7740000000000000,0.262,0.9080000000000000,0.402,0.221,0.155,0.049,7.239486694,1393.37854,56.6400032,0.6764548420000000,0.560127676,0.10584813400000000,0.85706389
Zimbabwe,Sub-Saharan Africa,2018,3.6920000000000000,0.35700000000000000,1.094,0.248,0.406,0.132,0.099,7.544406891,1890.141357,51.796772,0.752728462,0.71566838,0.094643012,0.764015973
Afghanistan,South Asia,2018,3.6320000000000000,0.332,0.537,0.255,0.085,0.191,0.036000000000000000,7.462609768000000,1741.6875,52.01332855,0.525074542,0.44529423100000000,0.179053545,0.879704535
Botswana,Sub-Saharan Africa,2018,3.59,1.0170000000000000,1.1740000000000000,0.41700000000000000,0.557,0.042,0.092,9.661838531,15706.63574,57.10570526,0.7851324680000000,0.842526436,0.119786821,0.77634877
Malawi,Sub-Saharan Africa,2018,3.5870000000000000,0.18600000000000000,0.541,0.306,0.531,0.21,0.08,6.994550705,1090.673584,53.61896133,0.526804507,0.8204407690000000,0.173484012,0.798514843
Haiti,Latin America and Caribbean,2018,3.582,0.315,0.7140000000000000,0.289,0.025,0.392,0.10400000000000000,7.4077959060000000,1648.788208,53.09695053,0.597163141,0.395070165,0.487097681,0.7554755210000000
Liberia,Sub-Saharan Africa,2018,3.495,0.076,0.858,0.267,0.419,0.20600000000000000,0.03,6.640143394,765.2047119,52.38557816,0.656341314,0.726524651,0.14030505700000000,0.891234457
Syria,Middle East and North Africa,2018,3.4620000000000000,0.6890000000000000,0.382,0.539,0.08800000000000000,0.376,0.14400000000000000,,,60.95451355,0.461512834,0.448427856,0.275650412,0.6802555920000000
Rwanda,Sub-Saharan Africa,2018,3.408,0.332,0.8960000000000000,0.4,0.636,0.2,0.444,7.464259148000000,1744.562622,56.58612061,0.671545029,0.909072161,0.193597957,0.12614694200000000
Yemen,Middle East and North Africa,2018,3.355,0.442,1.073,0.34300000000000000,0.244,0.083,0.064,7.814972401,2477.418457,54.79708099,0.743860483,0.579306424,0.033717103,0.8282436130000000
Tanzania,Sub-Saharan Africa,2018,3.303,0.455,0.991,0.381,0.48100000000000000,0.27,0.09700000000000000,7.857804298,2585.8364260000000,55.99565125,0.710566342,0.778706789,0.333040565,0.767235875
South Sudan,Sub-Saharan Africa,2018,3.2540000000000000,0.337,0.608,0.177,0.11200000000000000,0.22400000000000000,0.106,7.480453014,1773.043823,49.57999039,0.5538050530000000,0.46804955600000000,0.255653292,0.751583517
Central African Republic,Sub-Saharan Africa,2018,3.083,0.024,0.0,0.01,0.305,0.218,0.038,6.473706245,647.8804932,44.31241989,0.305565357,0.630962014,0.167455778,0.8758712410000000
Burundi,Sub-Saharan Africa,2018,2.905,0.091,0.627,0.145,0.065,0.149,0.076,6.688570023,803.1729126,48.56855774,0.56173259,0.428722262,0.054393403,0.8064472080000000
