Country,Region,year,score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012
Burundi,Sub-Saharan Africa,2015,2.904999971,6.622704983,0.56173259,46.81126785,0.428722262,-0.045688577,0.806447208,2.098976374,1.833019495,0.015303019,0.415867239,0.223960981,0.118495755,0.197268695,0.10061989,,-1.307981968
Cambodia,Southeast Asia,2015,3.819000006,7.987250805,0.650393963,60.8017807,0.9447667,0.216356635,0.850991607,2.098976374,0.981947184,0.460380256,0.627356291,0.611137867,0.662456036,0.403591365,0.07247062,,-0.555413365
Cameroon,Sub-Saharan Africa,2015,4.251999855,7.871113777,0.759524286,47.17487717,0.784092605,-0.034369841,0.8741166,2.098976374,1.950708389,0.422499567,0.887671173,0.234023601,0.493090123,0.206180543,0.05785707,0.5832268,-0.802268863
Canada,North America and ANZ,2015,7.427000046,10.64201641,0.941860437,71.44319153,0.916791618,0.285598069,0.444143742,2.098976374,2.451755524,1.326291561,1.322608113,0.905630887,0.632967591,0.458109021,0.329573005,0.492210895,1.268313885
Central African Republic,Sub-Saharan Africa,2015,3.677999973,6.81646204,0.387390912,41.13923645,0.780017793,0.006486155,0.834498882,2.098976374,2.722296715,0.078501232,0,0.066991791,0.488794893,0.238348737,0.082892984,0.78385824,-1.564966679
Chad,Sub-Saharan Africa,2015,3.667000055,7.624094486,0.706260622,44.14233398,0.539253175,-0.062716626,0.882297575,2.098976374,1.942960024,0.341928661,0.760618269,0.150100246,0.235005915,0.183861569,0.052687205,0.326874167,-1.196557045
Chile,Latin America and Caribbean,2015,6.670000076,9.970168114,0.858794332,69.7425766,0.734980047,0.127505362,0.762026429,2.098976374,2.67584753,1.107153177,1.124465704,0.858567655,0.441320777,0.33363387,0.128691047,0.325967312,0.694700539
China,East Asia,2015,5.139999866,9.304759026,0.784289658,68.22540283,0.806748092,-0.192273229,0.921661675,2.098976374,1.86039567,0.890115082,0.946745396,0.816581011,0.516971171,0.081854478,0.027811555,,-1.061000347
Colombia,Latin America and Caribbean,2015,6.477000237,9.392128944,0.907306373,63.67922211,0.823529422,-0.062529869,0.884653211,2.098976374,2.857372046,0.918612778,1.240184307,0.690768898,0.534660339,0.184008613,0.051198591,0.316104561,-0.757290721
Comoros,Sub-Saharan Africa,2015,3.95600009,7.308703423,0.719723403,51.84083939,0.533712983,-0.074720189,0.650761902,2.098976374,1.9581213,0.239056796,0.792731822,0.363150597,0.229166031,0.174410492,0.199003264,0.465189397,-0.459700167
Congo (Brazzaville),Sub-Saharan Africa,2015,3.989000082,8.656470299,0.665292799,49.9386673,0.709688842,-0.138893738,0.780755758,2.098976374,1.681353807,0.678661227,0.662895381,0.310509413,0.414661437,0.123883106,0.116855279,0.523745,-0.817056715
Congo (Kinshasa),Sub-Saharan Africa,2015,4.517000198,6.575788021,0.80711633,42.26185608,0.530760586,0.019170895,0.845018506,2.098976374,2.867123127,0,1.001195192,0.098059438,0.226053923,0.248336166,0.076245241,0.317001909,-1.816543818
Costa Rica,Latin America and Caribbean,2015,7.225999832,9.506083488,0.906340837,69.80422211,0.917542577,0.027591037,0.798209369,2.098976374,3.177275658,0.955781579,1.237881064,0.860273659,0.633759201,0.254965812,0.105825692,0.31460163,0.844898283
Croatia,Central and Eastern Europe,2015,5.758999825,9.894703865,0.721195042,67.19452667,0.561857462,-0.227092102,0.927221537,2.098976374,2.754143238,1.082538843,0.796242177,0.78805232,0.258832991,0.054439653,0.024298072,0.242310807,0.530683577
Cyprus,Western Europe,2015,5.68900013,10.27973652,0.761833668,72.09119415,0.702155411,0.09289097,0.868416131,2.098976374,1.889306784,1.208125949,0.893179834,0.923563898,0.406720489,0.306380063,0.061459407,0.264260739,0.815807879
Czech Republic,Central and Eastern Europe,2015,6.505000114,10.19038486,0.893157661,69.24623108,0.756157041,-0.160518035,0.923705935,2.098976374,2.677818537,1.1789819,1.206434488,0.844831705,0.463643372,0.106857106,0.026519712,0.250791132,0.984445989
Denmark,Western Europe,2015,7.52699995,10.63952065,0.957779527,70.32339478,0.932365298,0.137351438,0.200448066,2.098976374,2.492041588,1.3254776,1.360580802,0.874641359,0.649383724,0.341386229,0.483573467,0.465452701,1.299622893
Djibouti,Sub-Saharan Africa,2015,4.368999958,7.925537109,0.635599375,51.83212662,0.753407061,-0.06644503,0.520932198,2.098976374,2.051249027,0.440250933,0.59206593,0.362909466,0.460744619,0.180925995,0.281047523,0.688603699,-0.624742568
Dominican Republic,Latin America and Caribbean,2015,4.885000229,9.320871353,0.878730476,62.86550903,0.863431692,-0.020835144,0.740419924,2.098976374,1.213052034,0.895370483,1.172020555,0.668250024,0.576721132,0.216837183,0.142344996,0.499074668,0.144083738
Ecuador,Latin America and Caribbean,2015,5.974999905,9.224761963,0.806208849,67.29204559,0.77712214,-0.149657205,0.679414034,2.098976374,2.539424658,0.864022255,0.99903053,0.7907511,0.485742599,0.115408435,0.180896908,0.635505557,-0.466731131
Egypt,Middle East and North Africa,2015,4.193999767,9.279253006,0.70055151,61.01789093,0.480315715,-0.152834252,0.86559093,2.098976374,1.599271536,0.881795764,0.746999979,0.617118597,0.172880188,0.11290697,0.06324476,0.561632574,-1.109443903
El Salvador,Latin America and Caribbean,2015,6.130000114,8.919775963,0.817125499,63.19488144,0.699097991,-0.16043222,0.779320002,2.098976374,3.034996748,0.764544249,1.025070667,0.677365124,0.403497666,0.106924668,0.117762588,0.3351942,0.065601237
Estonia,Central and Eastern Europe,2015,5.428999901,10.10687923,0.902161717,66.67274475,0.742147267,-0.185988992,0.725389659,2.098976374,1.587823391,1.151744604,1.227912426,0.77361238,0.448875725,0.086802408,0.15184319,0.316072315,0.843728006
Ethiopia,Sub-Saharan Africa,2015,4.512000084,7.160531044,0.64062649,54.63772202,0.728508353,0.012704879,0.72755444,2.098976374,2.448756933,0.190727055,0.604057372,0.440552205,0.434498996,0.243245095,0.150475189,0.72849524,-1.406251431
Finland,Western Europe,2015,7.406000137,10.53151321,0.940038919,70.84624481,0.92506963,0.000337604,0.310989916,2.098976374,2.619551182,1.290248513,1.318263054,0.889110863,0.641693413,0.233507648,0.413717896,0.492511153,1.501621962
France,Western Europe,2015,6.574999809,10.49329662,0.915770888,72.8941803,0.838186443,-0.139613584,0.638963819,2.098976374,2.211257458,1.277783275,1.260375142,0.94578594,0.550110221,0.123316333,0.206458911,0.358193338,0.886421561
Gabon,Sub-Saharan Africa,2015,3.895999908,9.826323509,0.766905248,54.39090729,0.619073987,-0.209595174,0.790168822,2.098976374,0.99895072,1.060235023,0.905277371,0.433721781,0.319144696,0.068215951,0.11090681,0.365364045,-0.273230165
Georgia,Commonwealth of Independent States,2015,4.296999931,8.850348473,0.549051821,65.07022858,0.701257527,-0.225787327,0.35911262,2.098976374,1.595407963,0.741898894,0.385619074,0.729263961,0.405774027,0.055466976,0.383307368,0.592612624,-0.344768167
Germany,Western Europe,2015,6.75,10.64701748,0.932119012,70.94553375,0.89953202,0.06210402,0.620022953,2.098976374,2.115690708,1.327922821,1.299371243,0.891858637,0.614774346,0.282139778,0.218428358,0.57048887,1.077420115
Ghana,Sub-Saharan Africa,2015,4.632999897,8.248454094,0.672270358,53.2201004,0.717999041,-0.003012762,0.896755815,2.098976374,2.309186935,0.545577586,0.679539323,0.401320606,0.423421174,0.23086971,0.043550503,0.469011426,0.2566697
Greece,Western Europe,2015,4.856999874,10.11398029,0.776989996,70.59382629,0.3893435,-0.296234518,0.943570375,2.098976374,1.80101037,1.154060721,0.929333091,0.882125378,0.076986767,0,0.013966628,0.1527946,0.2112225
Guatemala,Latin America and Caribbean,2015,6.123000145,8.86149025,0.824877322,61.99829483,0.864009023,0.052893307,0.815782666,2.098976374,2.742553711,0.745533049,1.043561459,0.644250512,0.577329695,0.274887681,0.094720468,0.446605653,-0.521341026
Guinea,Sub-Saharan Africa,2015,3.655999899,7.109761238,0.582225323,47.39408493,0.674199939,0.067727126,0.773580968,2.098976374,1.991716146,0.17416735,0.464749724,0.240090013,0.377252728,0.286567152,0.1213893,0.550468385,-1.18201685
Haiti,Latin America and Caribbean,2015,4.518000126,7.39355135,0.698881328,52.75584412,0.548023701,0.290374666,0.693881452,2.098976374,2.241728544,0.266731858,0.743016005,0.388472646,0.244250894,0.461869895,0.171754405,0.361601919,-0.794142842
Honduras,Latin America and Caribbean,2015,4.788000107,8.400954247,0.787114561,63.83577728,0.697187304,-0.003769332,0.857674539,2.098976374,1.844075203,0.595318913,0.95348382,0.69510144,0.401483625,0.230274037,0.068247423,0.279996783,-0.45410049
Hong Kong,East Asia,2015,5.473999977,10.82519627,0.831005275,75.33320618,0.881796002,0.205162376,0.378210962,2.098976374,0.654292583,1.386039853,1.058178902,1.013284087,0.596078873,0.394777536,0.37123841,0.45793879,0.801025033
Hungary,Central and Eastern Europe,2015,4.800000191,10.01245022,0.891359627,66.14646912,0.620951176,-0.133663744,0.922032177,2.098976374,1.240735769,1.1209445,1.202145576,0.759048104,0.321123451,0.128000975,0.027577423,0.269037426,0.694515705
Iceland,Western Europe,2015,7.56099987,10.5685339,0.97524035,72.96855927,0.912811399,0.257894844,0.741834044,2.098976374,2.702013016,1.30232358,1.402231097,0.947844326,0.62877208,0.436296731,0.141451374,0.322589606,1.337266326
India,South Asia,2015,4.565000057,8.553243637,0.547424018,57.33843994,0.693752706,0.040021516,0.831295848,2.098976374,2.275130272,0.644991517,0.381736189,0.515292525,0.397863209,0.264752984,0.084917106,0.580013335,-0.446446925
Indonesia,Southeast Asia,2015,5.399000168,9.11515522,0.843119502,61.77002335,0.758497059,0.358301342,0.965671659,2.098976374,1.863987923,0.828271568,1.087075591,0.637933254,0.466109961,0.515352368,0,0.670376956,-0.272341639
Iran,Middle East and North Africa,2015,4.68599987,9.668617249,0.615646005,63.94233704,0.601222098,0.187480807,0.872899294,2.098976374,1.694404364,1.008795619,0.544470012,0.698050439,0.300327092,0.380855858,0.058626331,0.718057334,-1.447562456
Iraq,Middle East and North Africa,2015,4.677000046,9.597179413,0.730690718,60.48497391,0.316307664,-0.068610668,0.747490406,2.098976374,1.953347683,0.985494554,0.818892777,0.602370501,0,0.179220855,0.137876898,0.418873489,-1.533466578
Ireland,Western Europe,2015,6.940000057,10.67164707,0.961508632,71.07107544,0.90237534,0.286741734,0.51146704,2.098976374,1.97569561,1.335956335,1.36947608,0.895332873,0.617771447,0.459009469,0.287028909,0.386746526,1.122856259
Israel,Middle East and North Africa,2015,7.277999878,10.34241581,0.90049237,71.74086761,0.708291948,0.125072718,0.842475355,2.098976374,3.088542461,1.228570104,1.223930478,0.913868845,0.413188964,0.331718504,0.077852353,0.41238004,-0.226072744
Italy,Western Europe,2015,5.947999954,10.41160202,0.889527261,73.20764923,0.565201104,-0.006363058,0.919770896,2.098976374,2.025178432,1.25113678,1.197774768,0.954460979,0.262357533,0.228231847,0.02900641,0.264844716,0.695747316
Ivory Coast,Sub-Saharan Africa,2015,3.654999971,8.002469063,0.710675657,44.20557022,0.760915637,-0.040122166,0.682073474,2.098976374,1.417225599,0.465344012,0.771149695,0.151850268,0.468659371,0.201651424,0.17921631,0.601338267,-1.027140379
Jamaica,Latin America and Caribbean,2015,5.709000111,9.06029129,0.869927585,63.5576973,0.79483813,-0.026594903,0.929296434,2.098976374,2.320375919,0.810376465,1.151022434,0.687405825,0.504416943,0.212302193,0.022986867,0.292708665,0.26666531
Japan,East Asia,2015,5.986999989,10.47168922,0.914404511,74.53201294,0.786992908,-0.160268679,0.679879904,2.098976374,1.684350967,1.270735621,1.257115841,0.991111696,0.496147335,0.107053436,0.180602506,0.305417091,1.011131525
Jordan,Middle East and North Africa,2015,5.191999912,9.341126442,0.829220474,63.88249588,0.702051938,-0.155857444,0.739490986,2.098976374,1.879955769,0.901977181,1.053921461,0.696394384,0.406611413,0.110526644,0.142932028,,-0.622341871
Kazakhstan,Commonwealth of Independent States,2015,5.855000019,10.01734543,0.85793215,61.97776413,0.806289375,-0.146020964,0.831896722,2.098976374,2.247287273,1.122541189,1.122409105,0.643682361,0.516487658,0.118271448,0.084537387,0.661547601,-0.762082458
Kenya,Sub-Saharan Africa,2015,4.419000149,7.693935394,0.806096613,53.69089508,0.716796398,0.180582553,0.873276055,2.098976374,1.785548925,0.364708841,0.998762786,0.414349496,0.422153473,0.375424474,0.058388241,0.548849225,-0.796030998
Kosovo,Central and Eastern Europe,2015,5.589000225,9.033013344,0.72779119,61.53123093,0.551094532,0.063317873,0.890650392,2.098976374,2.765791416,0.801479161,0.811976373,0.631324887,0.247487843,0.283095509,0.047408748,0.340159982,-0.683121085
Kuwait,Middle East and North Africa,2015,6.295000076,11.3408041,0.876179516,64.91339874,0.84281826,-0.090129994,0.560423911,2.098976374,1.876338959,1.554216862,1.165935636,0.72492379,0.554992616,0.162277505,0.256091207,,-0.222025946
Kyrgyzstan,Commonwealth of Independent States,2015,5.285999775,8.02986145,0.869982958,62.23798752,0.728769124,0.0851717,0.898709774,2.098976374,2.23270154,0.474278659,1.151154518,0.650883853,0.434773892,0.300302237,0.042315722,0.435237288,-0.76395762
Laos,Southeast Asia,2015,4.875999928,8.386667252,0.696789563,58.55966568,0.881633818,0.23962976,0.581939816,2.098976374,1.737992525,0.590658903,0.738026381,0.549089015,0.595907927,0.421915621,0.242494509,,-0.770675361
Latvia,Central and Eastern Europe,2015,5.09800005,9.988462448,0.84670198,64.89342499,0.597793043,-0.064748697,0.865469456,2.098976374,1.622154713,1.113120317,1.095621109,0.724371076,0.296712548,0.182261601,0.063321523,0.212055981,0.5865646
Lebanon,Middle East and North Africa,2015,4.839000225,9.720262527,0.722774923,69.05265045,0.638060689,-0.018669959,0.893160641,2.098976374,1.570594788,1.025640845,0.8000108,0.839474499,0.339158505,0.21854195,0.045822427,0.244044319,-1.031683207
Lesotho,Sub-Saharan Africa,2015,4.897999763,7.726869583,0.823816776,41.46899033,0.617677569,-0.088091478,0.767806828,2.098976374,2.798321009,0.375451088,1.041031718,0.076117478,0.317672729,0.163882539,0.125038192,0.397063255,0.14520818
Liberia,Sub-Saharan Africa,2015,4.571000099,6.794080734,0.718442142,51.07692719,0.586973429,0.01318133,0.867055357,2.098976374,2.777285576,0.071201064,0.789675534,0.342009902,0.285307646,0.243620232,0.062319335,0.353256166,-0.41743052
Libya,Middle East and North Africa,2015,5.754000187,10.04464436,0.856343389,64.15023041,0.711605787,-0.063872688,0.791240275,2.098976374,2.090662479,1.131445289,1.118619323,0.703803718,0.416682094,0.182951331,0.110229723,,-1.248957634
Lithuania,Central and Eastern Europe,2015,5.833000183,10.09305096,0.914543092,65.14296722,0.518777668,-0.262695521,0.94934988,2.098976374,2.446493149,1.147234201,1.257446408,0.731276929,0.213422775,0.02640711,0.010314343,0.288670272,0.827191174
Luxembourg,Western Europe,2015,6.946000099,11.37051392,0.898687541,71.92420959,0.900537312,0.059813842,0.367547631,2.098976374,1.969613075,1.563907385,1.219625235,0.91894275,0.615833998,0.280336589,0.377976954,0.696520388,1.482696652
Macedonia,Central and Eastern Europe,2015,5.006999969,9.391802788,0.807589412,65.2935791,0.633710921,-0.012261267,0.881372929,2.098976374,1.739330292,0.918506384,1.002323627,0.735445023,0.334573418,0.223587856,0.053271525,0.415715933,-0.22233814
Madagascar,Sub-Saharan Africa,2015,3.680999994,7.214238644,0.667438149,55.60094833,0.498301804,-0.025285151,0.837115884,2.098976374,1.851003051,0.208244994,0.668012798,0.467208773,0.191839248,0.213333443,0.081239209,0.419568598,-0.707587659
Malawi,Sub-Saharan Africa,2015,4.291999817,6.624955654,0.559834063,46.8711853,0.724750102,0.124512605,0.855265796,2.098976374,2.807907104,0.016037127,0.411338568,0.225619152,0.430537462,0.331277519,0.069769599,0.578113914,-0.11823047
