Country,Region,year,score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012
Afghanistan,South Asia,2015,3.575000048,7.556314945,0.514354289,49.68011475,0.538429558,0.167474508,0.81187737,2.098976374,1.952101231,0.319820851,0.302853048,0.303354174,0.234137744,0.365103781,0.097188368,0.442853451,-1.868366241
Albania,Central and Eastern Europe,2015,4.959000111,9.269684792,0.724589467,68.10516357,0.655295372,-0.114963196,0.864195228,2.098976374,1.898938656,0.878674865,0.804339111,0.813253522,0.357325524,0.142724946,0.064126752,0.398994416,-0.074505888
Algeria,Middle East and North Africa,2015,5.605000019,9.455523491,0.839197159,61.03742599,0.587427616,-0.196885318,0.690593839,2.098976374,2.432085276,0.939290345,1.07771945,0.617659211,0.28578639,0.078223124,0.173831969,,-1.127525806
Angola,Sub-Saharan Africa,2015,4.032999992,8.899051666,0.748090804,44.74675369,0.414821655,-0.13945888,0.852977574,2.098976374,1.94939065,0.757784545,0.860398233,0.166827112,0.103843182,0.123438142,0.071215607,0.453875929,-0.730668843
Argentina,Latin America and Caribbean,2015,6.573999882,9.805690765,0.910680711,67.16481781,0.74296385,-0.150800332,0.831423283,2.098976374,2.835997105,1.053505182,1.248233318,0.787230134,0.449736476,0.11450839,0.084836572,0.419626981,0.158757001
Armenia,Commonwealth of Independent States,2015,4.349999905,8.931020737,0.713175714,65.09311676,0.504595757,-0.196466073,0.90394932,2.098976374,1.758725643,0.768211961,0.777113259,0.72989738,0.198473677,0.078553222,0.039004657,0.253683299,-0.23178266
Australia,North America and ANZ,2015,7.28399992,10.66437435,0.936251402,72.37998199,0.934129834,0.25703004,0.401746958,2.098976374,2.266460419,1.333584189,1.309228539,0.931555867,0.651243746,0.435615838,0.356365114,0.440656304,1.249792933
Austria,Western Europe,2015,7.199999809,10.67555904,0.931142211,70.89360809,0.90860188,0.124014005,0.670133412,2.098976374,2.533203125,1.337232232,1.297041297,0.890421629,0.624334812,0.330884933,0.186761677,0.403196931,1.392406106
Azerbaijan,Commonwealth of Independent States,2015,5.211999893,9.714889526,0.780594885,61.86105728,0.667600513,-0.197177783,0.71144712,2.098976374,2.000728369,1.02388835,0.937932074,0.640452564,0.370296299,0.077992857,0.160654008,0.7471084,-0.974218547
Bahrain,Middle East and North Africa,2015,5.960000038,10.63426113,0.897270024,65.7168045,0.747879267,-0.075722456,0.481451124,2.098976374,1.737968922,1.323762059,1.216243982,0.747157454,0.454917789,0.173621356,0.305997074,,-1.223435283
Bangladesh,South Asia,2015,4.693999767,7.794554234,0.568101943,60.45843124,0.7035622,-0.026702447,0.766768396,2.098976374,2.517665386,0.397527933,0.431060433,0.601635933,0.408203363,0.21221754,0.125694424,0.716837585,-0.883089423
Belarus,Commonwealth of Independent States,2015,5.813000202,9.739522934,0.90424639,65.31640625,0.676215351,-0.155937225,0.663580894,2.098976374,2.130903006,1.031923056,1.232885122,0.736076772,0.379377186,0.110463828,0.190902457,0.503822982,-0.758164763
Belgium,Western Europe,2015,6.936999798,10.58537292,0.926372409,71.11927032,0.870814443,-0.013645837,0.608997643,2.098976374,2.414841175,1.307816029,1.285663605,0.896666646,0.584503233,0.222497731,0.225395665,0.4839423,1.12436533
Benin,Sub-Saharan Africa,2015,3.339999914,7.454632759,0.535738528,50.24900818,0.775939822,-0.064318918,0.838918984,2.098976374,1.633279085,0.286654919,0.353862107,0.319097847,0.484496325,0.182599992,0.080099761,0.568248391,0.189878225
Bhutan,South Asia,2015,5.252999783,8.937794685,0.85019356,59.46221542,0.821066856,0.31337887,0.721267045,2.098976374,1.637944221,0.770421445,1.103949785,0.574066401,0.532064557,0.479982406,0.15444842,0.970166862,0.245038748
Bolivia,Latin America and Caribbean,2015,5.889999866,8.664662361,0.797565699,58.20220947,0.860981047,-0.035406888,0.82642144,2.098976374,2.823338509,0.681333244,0.978413522,0.53919673,0.574137926,0.205364034,0.087997429,0.433858484,-0.317424357
Bosnia and Herzegovina,Central and Eastern Europe,2015,4.948999882,9.127297401,0.772723079,67.29405975,0.404013067,0.018851038,0.96208638,2.098976374,2.063668013,0.832231998,0.919155002,0.79080683,0.092449896,0.248084307,0.002265672,0.153917238,-0.337707281
Botswana,Sub-Saharan Africa,2015,4.331999779,9.621862411,0.850481033,40.44430542,0.785856605,-0.163377523,0.76827395,2.098976374,1.461810589,0.993545473,1.104635477,0.047760095,0.494949549,0.104605667,0.124743,0.675001621,0.802923262
Brazil,Latin America and Caribbean,2015,6.982999802,9.584126472,0.904241323,63.90522003,0.781625569,-0.111135721,0.688408315,2.098976374,3.260014057,0.981237054,1.232873082,0.697023213,0.490489632,0.145738527,0.175213084,0.396862805,0.248016298
Bulgaria,Central and Eastern Europe,2015,4.217999935,9.678918839,0.851111531,66.41539001,0.606480479,-0.144828111,0.951871812,2.098976374,0.899907351,1.012155771,1.106139421,0.766490281,0.305869937,0.119210646,0.008720639,0.218773201,0.357870907
Burkina Faso,Sub-Saharan Africa,2015,3.586999893,7.367134094,0.744521439,48.51991272,0.690965474,-0.020036876,0.762613952,2.098976374,1.464938164,0.258115262,0.851884007,0.271246433,0.394925207,0.217465699,0.12831977,0.598793209,-0.481093526
