Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Netherlands,Western Europe ,2017,7.377000000000000,1.504,1.429,0.8110000000000000,0.585,0.47,0.28300000000000000,10.79181385,0.9365013240000000,71.61999512,0.9203197360000000,0.237440467,0.363133639,0.852184892,0.669553638,0.286909091,0.44193548
New Zealand,North America and ANZ,2017,7.314,1.406,1.548,0.8170000000000000,0.614,0.5,0.38300000000000000,10.47576237,0.95492065,71.61430359,0.942279458,0.28505671,0.221887484,0.8174312710000000,0.609015465,,0.44644218700000000
Nicaragua,Latin America and Caribbean,2017,6.071000000000000,0.737,1.287,0.653,0.44800000000000000,0.302,0.131,8.575318336,0.83804369,66.25178528,0.922162771,0.010326705,0.6729633210000000,0.849764168,0.590425193,0.48275,0.442813009
Niger,Sub-Saharan Africa,2017,4.0280000000000000,0.162,0.993,0.26900000000000000,0.364,0.22900000000000000,0.139,6.831231594,0.582109571,51.32594299,0.68355757,-0.012236271000000000,0.777660012,0.731161416,0.601117253,0.368,0.65929687
Nigeria,Sub-Saharan Africa,2017,5.074,0.784,1.216,0.057,0.395,0.231,0.026000000000000000,8.58562088,0.7334685330000000,45.8731575,0.8259055610000000,0.11330148600000000,0.834891975,0.724990547,0.558790743,0.4155,0.46859923
North Cyprus,Western Europe,2017,5.81,1.347,1.186,0.835,0.47100000000000000,0.267,0.155,,,,,,,,,,
Norway,Western Europe ,2017,7.537000000000000,1.6160000000000000,1.534,0.797,0.635,0.36200000000000000,0.316,11.08178902,0.9501276610000000,71.086586,0.9530168180000000,0.210104033,0.24971137900000000,0.849099994,0.7171597480000000,0.271727273,0.328113139
Pakistan,South Asia,2017,5.269,0.727,0.6730000000000000,0.402,0.235,0.315,0.124,8.519006729000000,0.6902635690000000,57.46299744,0.7126570940000000,0.030328112,0.7139282230000000,0.586166978,0.557435155,0.312571429,0.411645055
Palestinian Territories,Middle East and North Africa,2017,4.775,0.716,1.156,0.5660000000000000,0.255,0.114,0.08900000000000000,,0.824345112,63.07249832,0.631611288,,0.8306463360000000,0.596765578,0.414400935,,0.478864819
Panama,Latin America and Caribbean,2017,6.452000000000000,1.234,1.3730000000000000,0.706,0.55,0.21100000000000000,0.071,10.00271416,0.9119048120000000,68.04541016,0.899573505,-0.164080471,0.8407770990000000,0.832688808,0.390996099,0.53675,0.47434267400000000
Paraguay,Latin America and Caribbean,2017,5.493000000000000,0.9330000000000000,1.507,0.579,0.474,0.22400000000000000,0.091,,,,,,,,,,
Peru,Latin America and Caribbean,2017,5.715,1.035,1.219,0.63,0.45,0.127,0.047,9.413349152,0.830123365,65.40724182,0.826552153,-0.166747421,0.895384133,0.7893908620000000,0.254595339,0.4891875,0.479469627
Philippines,Southeast Asia,2017,5.43,0.858,1.254,0.46800000000000000,0.585,0.19400000000000000,0.099,8.938967705,0.851028562,60.25149155,0.925703108,-0.147851661,0.711165547,0.768981457,0.83773005,0.418833333,0.503399193
Poland,Central and Eastern Europe,2017,5.973,1.2920000000000000,1.446,0.6990000000000000,0.52,0.158,0.059000000000000000,10.21113968,0.881854117,69.09680176,0.830842614,-0.133134007,,0.677435517,0.502480447,0.334733333,0.260087878
Portugal,Western Europe,2017,5.195,1.315,1.367,0.7960000000000000,0.498,0.095,0.016,10.23670864,0.899984837,72.15874481,0.9050656560000000,-0.182598397,0.880970538,0.649151087,0.5010881420000000,0.36700000000000000,0.44552809
